acqf,trial,iteration,best_f,sum_c_x,cum_costs,eta
CArBO,2,0,0.04426673387871662,42.56161856651306,"tensor(42.5616, device='cuda:0', dtype=torch.float64)",1.869679797679186
CArBO,2,1,0.04426673387871662,38.4460346698761,"tensor(81.0077, device='cuda:0', dtype=torch.float64)",1.8648740433454514
CArBO,2,2,0.04426673387871662,38.47880291938782,"tensor(119.4865, device='cuda:0', dtype=torch.float64)",1.860064192980528
CArBO,2,0,0.017095962621390997,43.129597663879395,"tensor(43.1296, device='cuda:0', dtype=torch.float64)",1.0315083036093877
CArBO,2,1,0.017095962621390997,43.24930143356323,"tensor(86.3789, device='cuda:0', dtype=torch.float64)",1.0285255931656936
CArBO,2,2,0.04389922869462614,38.07281994819641,"tensor(124.4517, device='cuda:0', dtype=torch.float64)",1.0258998814451283
CArBO,2,3,0.04389922869462614,38.50451421737671,"tensor(162.9562, device='cuda:0', dtype=torch.float64)",1.0232443977059988
CArBO,2,0,0.021824193119844786,42.08436441421509,"tensor(42.0844, device='cuda:0', dtype=torch.float64)",1.0175452813323662
CArBO,2,1,0.021824193119844786,37.73807764053345,"tensor(79.8224, device='cuda:0', dtype=torch.float64)",1.0149780651663436
CArBO,2,2,0.03676614947690108,43.253666639328,"tensor(123.0761, device='cuda:0', dtype=torch.float64)",1.0120356388643486
CArBO,2,3,0.03676614947690108,42.8605797290802,"tensor(165.9367, device='cuda:0', dtype=torch.float64)",1.0091199531684927
CArBO,2,4,0.03676614947690108,37.27497410774231,"tensor(203.2117, device='cuda:0', dtype=torch.float64)",1.0065842406441565
CArBO,2,5,0.056106017495307525,37.572710037231445,"tensor(240.7844, device='cuda:0', dtype=torch.float64)",1.004028273974957
CArBO,2,6,0.056106017495307525,35.426225662231445,"tensor(276.2106, device='cuda:0', dtype=torch.float64)",1.0016183266509957
CArBO,2,7,0.056106017495307525,34.82086753845215,"tensor(311.0315, device='cuda:0', dtype=torch.float64)",0.9992495601517813
CArBO,2,8,0.056106017495307525,38.812843322753906,"tensor(349.8443, device='cuda:0', dtype=torch.float64)",0.996609230674043
CArBO,2,9,0.056106017495307525,39.02950406074524,"tensor(388.8738, device='cuda:0', dtype=torch.float64)",0.993954162370591
CArBO,2,10,0.06267937234698119,38.6828134059906,"tensor(427.5566, device='cuda:0', dtype=torch.float64)",0.9913226784654215
